id,code,type
1,us-al,1
2,us-az,1
3,us-ar,1
4,us-ca,1
5,us-co,1
6,us-ct,1
7,us-de,1
8,us-fl,1
9,us-ga,1
10,us-id,1
11,us-il,1
12,us-in,1
13,us-ia,1
14,us-ks,1
15,us-ky,1
16,us-la,1
17,us-me,1
18,us-md,1
19,us-ma,1
20,us-mi,1
21,us-mn,1
22,us-ms,1
23,us-mo,1
24,us-mt,1
25,us-ne,1
26,us-nv,1
27,us-nh,1
28,us-nj,1
29,us-nm,1
30,us-ny,1
31,us-nc,1
32,us-nd,1
33,us-oh,1
34,us-ok,1
35,us-or,1
36,us-pa,1
37,us-ri,1
38,us-sc,1
39,us-sd,1
40,us-tn,1
41,us-tx,1
42,us-ut,1
43,us-vt,1
44,us-va,1
45,us-wa,1
46,us-wv,1
47,us-wi,1
48,us-wy,1
51,al,1
54,af,1
56,dz,1
57,ao,1
58,ar,1
59,am,1
60,au,1
61,az,1
62,bs,1
63,bd,1
64,be,1
65,bz,1
66,by,1
67,bj,1
68,bt,1
69,bo,1
70,ba,1
71,bw,1
72,br,1
73,bn,1
74,bg,1
75,bf,1
76,bi,1
77,td,1
78,me,1
79,cz,1
80,cn,1
81,dk,1
82,cd,1
83,do,1
84,dj,1
85,eg,1
86,ec,1
87,er,1
88,ee,1
89,et,1
90,fk,1
91,fj,1
92,ph,1
93,fi,1
94,fr,1
95,tf,1
96,ga,1
97,gm,1
98,gh,1
99,gl,1
100,ge,1
101,gt,1
102,gn,1
103,gw,1
104,gy,1
105,ht,1
106,hn,1
107,cl,1
108,hr,1
109,in,1
110,id,1
111,iq,1
112,ir,1
113,ie,1
114,is,1
115,it,1
116,il,1
117,jm,1
118,jp,1
119,ye,1
120,za,1
121,kr,1
122,ss,1
123,jo,1
124,kh,1
125,cm,1
126,ca,1
127,qa,1
128,kz,1
129,ke,1
130,co,1
131,cg,1
132,cr,1
133,cu,1
134,kw,1
135,cy,1
136,kg,1
137,la,1
138,ls,1
139,lb,1
140,lr,1
141,ly,1
142,lt,1
143,lv,1
144,lu,1
145,mg,1
146,hu,1
147,mk,1
148,my,1
149,mw,1
150,ml,1
151,ma,1
152,mr,1
153,mx,1
154,md,1
155,mn,1
156,mz,1
157,mm,1
158,na,1
159,de,1
160,np,1
161,ne,1
162,ng,1
163,ni,1
164,nl,1
165,no,1
166,nc,1
167,nz,1
168,om,1
169,pk,1
170,ps,1
171,pa,1
172,pg,1
173,py,1
174,pe,1
175,ci,1
176,pl,1
177,pr,1
178,pt,1
179,at,1
180,gq,1
181,ro,1
182,ru,1
183,rw,1
184,gr,1
185,sv,1
186,sa,1
187,sn,1
188,kp,1
189,sl,1
190,sk,1
191,si,1
192,so,1
193,ae,1
194,gb,1
195,us,1
196,rs,1
197,cf,1
198,sd,1
199,sr,1
200,sz,1
201,sy,1
202,sb,1
203,es,1
204,lk,1
205,se,1
206,ch,1
207,tj,1
208,tz,1
209,th,1
210,tw,1
211,tg,1
212,tn,1
213,tr,1
214,tm,1
215,ug,1
216,ua,1
217,uy,1
218,uz,1
219,ve,1
220,vn,1
221,tl,1
222,zm,1
223,eh,1
224,zw,1
225,world,3
227,africa,4
228,samerica,4
229,namerica,4
230,europe,4
231,asia,4
232,oceania,4
234,xk,1
235,xs,1
236,cz-us,7
237,cz-pl,7
238,cz-jm,7
239,cz-zl,7
240,cz-ol,7
241,cz-pa,7
242,cz-ka,7
243,cz-jc,7
244,cz-vy,7
245,cz-pr,7
246,cz-st,7
247,cz-li,7
248,cz-kr,7
249,cz-mo,7
250,de-nw,8
251,de-bw,8
252,de-he,8
253,de-hb,8
254,de-ni,8
255,de-th,8
256,de-hh,8
257,de-sh,8
258,de-rp,8
259,de-sl,8
260,de-by,8
261,de-be,8
262,de-st,8
263,de-sn,8
264,de-bb,8
265,de-mv,8
266,at-vo,8
267,at-bu,8
268,at-st,8
269,at-ka,8
270,at-oo,8
271,at-sz,8
272,at-tr,8
273,at-no,8
274,at-wi,8
275,in-ch,1
276,in-dl,1
277,in-hp,1
278,in-hr,1
279,in-jk,1
280,in-ap,1
281,in-kl,1
282,in-ld,1
283,in-or,1
284,in-dn,1
285,in-ka,1
286,in-mh,1
287,in-an,1
288,in-as,1
289,in-mn,1
290,in-nl,1
291,in-ml,1
292,in-pb,1
293,in-rj,1
294,in-up,1
295,in-ut,1
296,in-jh,1
297,in-wb,1
298,in-br,1
299,in-sk,1
300,in-ct,1
301,in-mp,1
302,in-py,1
303,in-tn,1
304,in-gj,1
305,in-ga,1
306,in-ar,1
307,in-mz,1
308,in-tr,1
309,Daman and Diu,1
310,cn-62,9
311,cn-63,9
312,cn-45,9
313,cn-52,9
314,cn-50,9
315,cn-11,9
316,cn-35,9
317,cn-34,9
318,cn-44,9
319,cn-54,9
320,cn-65,9
321,cn-46,9
322,cn-64,9
323,cn-61,9
324,cn-14,9
325,cn-42,9
326,cn-43,9
327,cn-51,9
328,cn-53,9
329,cn-13,9
330,cn-41,9
331,cn-21,9
332,cn-37,9
333,cn-12,9
334,cn-36,9
335,cn-32,9
336,cn-31,9
337,cn-33,9
338,cn-22,9
339,cn-15,9
340,cn-23,9
341,San_Marino,2
342,Vaduz,2
343,Luxembourg,2
344,Monaco,2
345,Andorra,2
346,Ljubljana,2
347,Bratislava,2
348,Podgorica,2
349,Bern,2
350,Pristina,2
351,Skopje,2
352,Reykjavik,2
353,Chisinau,2
354,Vilnius,2
355,Riga,2
356,Zagreb,2
357,Tallinn,2
358,Belgrade,2
359,Tirana,2
360,Sofia,2
361,Minsk,2
362,Sarajevo,2
363,Budapest,2
364,Bucharest,2
365,Lisbon,2
366,Oslo,2
367,Warsaw,2
368,Dublin,2
369,Prague,2
370,Helsinki,2
371,Kobenhavn,2
372,Brussels,2
373,Kiev,2
374,Madrid,2
375,Geneva,2
376,Stockholm,2
377,Amsterdam,2
378,Berlin,2
379,Athens,2
380,Vienna,2
381,London,2
382,Moscow,2
383,Rome,2
384,Paris,2
385,it-65,10
386,it-75,10
387,it-77,10
388,it-78,10
389,it-72,10
390,it-45,10
391,it-36,10
392,it-62,10
393,it-42,10
394,it-25,10
395,it-57,10
396,it-67,10
397,it-21,10
398,it-88,10
399,it-82,10
400,it-52,10
401,it-32,10
402,it-55,10
403,it-23,10
404,it-34,10
405,fr-a,11
406,fr-b,11
407,fr-c,11
408,fr-p,11
409,fr-d,11
410,fr-e,11
411,fr-f,11
412,fr-g,11
413,fr-h,11
414,fr-i,11
415,fr-q,11
416,fr-j,11
417,fr-k,11
418,fr-l,11
419,fr-m,11
420,fr-n,11
421,fr-o,11
422,fr-r,11
423,fr-s,11
424,fr-t,11
425,fr-u,11
426,fr-v,11
427,es-an,12
428,es-ar,12
429,es-cb,12
430,es-cl,12
431,es-cm,12
432,es-ct,12
433,es-md,12
434,es-na,12
435,es-vc,12
436,es-ex,12
437,es-ga,12
438,es-pm,12
439,es-lo,12
440,es-pv,12
441,es-as,12
442,es-mu,12
443,ca-mb,9
444,ca-sk,9
445,ca-ab,9
446,ca-bc,9
447,ca-nu,9
448,ca-nt,9
449,ca-yt,9
450,ca-on,9
451,ca-qc,9
452,ca-nb,9
453,ca-ns,9
454,ca-nl,9
455,ca-pe,9
456,au-nt,1
457,au-wa,1
458,au-ct,1
459,au-ns,1
460,au-sa,1
461,au-vi,1
462,au-ql,1
463,au-ts,1
464,Hardanger-vidda,13
465,Bohmerwald,13
466,Transylvanian_Alps,13
467,Tatra_Mts.,13
468,Pindus_Mts.,13
469,Calabria,13
470,Harz,13
471,Vosges,13
472,Sudetes_Mts.,13
473,Erzgebirge,13
474,Ardennes,13
475,Jura,13
476,Grampian_Mts.,13
477,Cambrian_Mts.,13
478,Balkan_Mts.,13
479,Dinaric_Alps,13
480,Cord._Cantabrica,13
481,S._Nevada,13
482,Sierra_Morena,13
483,KJLEN_MOUNTAINS,13
484,CARPATHIAN_MOUNTAINS,13
485,APPENNINI,13
486,PYRENEES,13
487,ALPS,13
488,CAUCASUS_MTS.,13
489,Mesa,2
490,San_Mateo,2
491,Aurora,2
492,Kansas_City,2
493,Pasadena,2
494,Grand_Prairie,2
495,Stamford,2
496,Joliet,2
497,Stockton,2
498,Oceanside,2
499,Irvine,2
500,New_Haven,2
501,Lowell,2
502,Fort_Lauderdale,2
503,Gary,2
504,Covington,2
505,Akron,2
506,Grand_Rapids,2
507,Tacoma,2
508,Long_Beach,2
509,Hartford,2
510,Providence,2
511,Birmingham,2
512,St._Petersburg,2
513,Dayton,2
514,Virginia_Beach,2
515,Oakland,2
516,West_Palm_Beach,2
517,Sarasota,2
518,Louisville,2
519,Charlotte,2
520,Columbus,2
521,Albany,2
522,Harrisburg,2
523,San_Bernardino,2
524,Bridgeport,2
525,Rochester,2
526,Tucson,2
527,Fresno,2
528,Albuquerque,2
529,Tulsa,2
530,Ft._Worth,2
531,Austin,2
532,El_Paso,2
533,Orlando,2
534,Jacksonville,2
535,Indianapolis,2
536,Knoxville,2
537,Richmond,2
538,Baltimore,2
539,Syracuse,2
540,San_Jose,2
541,Sacramento,2
542,Las_Vegas,2
543,Portland,2
544,Salt_Lake_City,2
545,Omaha,2
546,Oklahoma_City,2
547,San_Antonio,2
548,Raleigh,2
549,Cleveland,2
550,Cincinnati,2
551,Nashville,2
552,Memphis,2
553,Norfolk,2
554,Milwaukee,2
555,Buffalo,2
556,Pittsburgh,2
557,Minneapolis,2
558,Seattle,2
559,Phoenix,2
560,San_Diego,2
561,St._Louis,2
562,New_Orleans,2
563,Dallas,2
564,Boston,2
565,Tampa,2
566,Philadelphia,2
567,Detroit,2
568,San_Francisco,2
569,Denver,2
570,Houston,2
571,Miami,2
572,Atlanta,2
573,Chicago,2
574,Los_Angeles,2
575,"Washington,_D.C.",2
576,New_York,2
577,Bielefeld,2
578,Dortmund,2
579,Duisburg,2
580,Wuppertal,2
581,Essen,2
582,Karlsruhe,2
583,Heidelberg,2
584,Augsburg,2
585,Chemnitz,2
586,Bonn,2
587,Dusseldorf,2
588,Mannheim,2
589,Wiesbaden,2
590,Hannover,2
591,Koblenz,2
592,Saarbrucken,2
593,Leipzig,2
594,Stuttgart,2
595,Bremen,2
596,Nurnberg,2
597,Cologne,2
598,Dresden,2
599,Frankfurt,2
600,Hamburg,2
601,Munich,2
602,London_Ca,2
603,Windsor,2
604,Winnipeg,2
605,Calgary,2
606,Ottawa,2
607,Quebec,2
608,Halifax,2
609,Edmonton,2
610,Montreal,2
611,Vancouver,2
612,Toronto,2
613,Cranbourne,2
614,Gold_Coast,2
615,Canberra,2
616,Newcastle,2
617,Adelaide,2
618,Brisbane,2
619,Perth,2
620,Melbourne,2
621,Sydney,2
622,Bregenz,2
623,Eisenstadt,2
624,Wiener_Neustadt,2
625,Graz,2
626,Klagenfurt,2
627,Linz,2
628,Passau,2
629,Salzburg,2
630,Innsbruck,2
631,Jihlava,2
632,Plzen,2
633,Otrokovice,2
634,Kudowa-Zdroj,2
635,Klingenthal,2
636,Trinec,2
637,Klasterec_nad_Ohri,2
638,Pelhrimov,2
639,Chrudim,2
640,Pardubice,2
641,Hradec_Kralove,2
642,Havlickuv_Brod,2
643,Zdar_nad_Sazavou,2
644,Velke_Mezirici,2
645,Svitavy,2
646,Moravska_Trebova,2
647,Ceska_Trebova,2
648,Usti_nad_Orlici,2
649,Vysoke_Myto,2
650,Trebic,2
651,Nachod,2
652,Jicin,2
653,Vrchlabi,2
654,Trutnov,2
655,Dvur_Kralove_nad_Labem,2
656,Rychnov_nad_Kneznou,2
657,Turnov,2
658,Liberec,2
659,Jablonec_nad_Nisou,2
660,Ceska_Lipa,2
661,Novy_Bor,2
662,Usti_nad_Labem,2
663,Teplice,2
664,Bilina,2
665,Most,2
666,Litvinov,2
667,Zatec,2
668,Louny,2
669,Kadan,2
670,Jirkov,2
671,Chomutov,2
672,Varnsdorf,2
673,Rumburk,2
674,Decin,2
675,Roudnice_nad_Labem,2
676,Litomerice,2
677,Kromeriz,2
678,Holesov,2
679,Uhersky_Brod,2
680,Vsetin,2
681,Valasske_Mezirici,2
682,Roznov_pod_Radhostem,2
683,Zlin,2
684,Marianske_Lazne,2
685,Cheb,2
686,As,2
687,Ostrov,2
688,Karlovy_Vary,2
689,Sokolov,2
690,Chodov,2
691,Ceske_Budejovice,2
692,Cesky_Krumlov,2
693,Jindrichuv_Hradec,2
694,Pisek,2
695,Prachatice,2
696,Strakonice,2
697,Tabor,2
698,Jesenik,2
699,Sternberk,2
700,Unicov,2
701,Olomouc,2
702,Prostejov,2
703,Prerov,2
704,Hranice,2
705,Sumperk,2
706,Zabreh,2
707,Domazlice,2
708,Susice,2
709,Klatovy,2
710,Rokycany,2
711,Tachov,2
712,Vlasim,2
713,Benesov,2
714,Beroun,2
715,Slany,2
716,Kladno,2
717,Kolin,2
718,Kutna_Hora,2
719,Neratovice,2
720,Melnik,2
721,Kralupy_nad_Vltavou,2
722,Mlada_Boleslav,2
723,Podebrady,2
724,Nymburk,2
725,Brandys_nad_Labem-Stara_Boleslav,2
726,Pribram,2
727,Rakovnik,2
728,Krnov,2
729,Bruntal,2
730,Frydek-Mistek,2
731,Cesky_Tesin,2
732,Orlova,2
733,Karvina,2
734,Havirov,2
735,Bohumin,2
736,Novy_Jicin,2
737,Koprivnice,2
738,Frenstat_pod_Radhostem,2
739,Opava,2
740,Hlucin,2
741,Ostrava,2
742,Boskovice,2
743,Blansko,2
744,Brno,2
745,Breclav,2
746,Veseli_nad_Moravou,2
747,Hodonin,2
748,Kyjov,2
749,Vyskov,2
750,Znojmo,2
751,Praha,2
752,Rejdice,2
753,Uherske_Hradiste,2
754,Hejnice,2
755,Angers,2
756,Clermont-Ferrand,2
757,Melun,2
758,Saint-Etienne,2
759,Grenoble,2
760,Caen,2
761,Nantes,2
762,Toulon,2
763,Montpellier,2
764,Nimes,2
765,Dijon,2
766,Tours,2
767,Orleans,2
768,Rouen,2
769,Reims,2
770,Mulhouse,2
771,Nancy,2
772,Metz,2
773,Rennes,2
774,Nice,2
775,Toulouse,2
776,Limoges,2
777,Lille,2
778,Strasbourg,2
779,Bordeaux,2
780,Marseille,2
781,Le_Havre,2
782,Lyon,2
783,Modena,2
784,Reggio_di_Calabria,2
785,Caserta,2
786,Como,2
787,Treviso,2
788,Parma,2
789,Bologna,2
790,Cagliari,2
791,Pisa,2
792,Livorno,2
793,Salerno,2
794,Bari,2
795,Foggia,2
796,Lecce,2
797,Taranto,2
798,Messina,2
799,Pescara,2
800,Bergamo,2
801,Trieste,2
802,Verona,2
803,Turin,2
804,Genoa,2
805,Florence,2
806,Catania,2
807,Venice,2
808,Palermo,2
809,Naples,2
810,Milan,2
811,Marbella,2
812,Mataro,2
813,Gijon,2
814,Vitoria,2
815,Almeria,2
816,Malaga,2
817,Albacete,2
818,Santander,2
819,Salamanca,2
820,Burgos,2
821,Cartagena,2
822,Oviedo,2
823,San_Sebastian,2
824,Alicante,2
825,Castello,2
826,Cadiz,2
827,Granada,2
828,Murcia,2
829,La_Coruna,2
830,Pamplona,2
831,Valladolid,2
832,Palma,2
833,Zaragoza,2
834,Cordoba,2
835,Vigo,2
836,Bilbao,2
837,Seville,2
838,Valencia,2
839,Barcelona,2
840,-99,1
841,tt,1
842,vu,1
843,Saaremaa,14
844,Aland,14
845,Gotland,14
846,Zealand,14
847,Lofoten,14
848,Vesteralen,14
849,Rhodes,14
850,Crete,14
851,Malta,14
852,Menorca,14
853,Mallorca,14
854,Ibiza,14
855,Lesbos,14
856,Kolguyev_I.,14
857,Sardegna,14
858,Corse,14
859,Sicilia,14
860,IRELAND,14
861,GREAT_BRITAIN,14
862,ICELAND,14
863,Valletta,2
864,Sunderland,2
865,Southampton,2
866,Bristol,2
867,Bournemouth,2
868,Southend,2
869,Reading,2
870,Leicester,2
871,Bradford,2
872,Sheffield,2
873,Middlesbrough,2
874,Coventry,2
875,Kingston_upon_Hull,2
876,Brighton,2
877,Portsmouth,2
878,Nottingham,2
879,Stoke,2
880,Edinburgh,2
881,Liverpool,2
882,Cardiff,2
883,Leeds,2
884,Manchester,2
885,Belfast,2
886,Glasgow,2
887,sk-bl,7
888,sk-bc,7
889,sk-zi,7
890,sk-ni,7
891,sk-tc,7
892,sk-ta,7
893,sk-ki,7
894,sk-pv,7
895,Zvolen,2
896,Handlova,2
897,Puchov,2
898,Surany,2
899,Galanta,2
900,Povazska_Bystrica,2
901,Martin,2
902,Kezmarok,2
903,Topolcany,2
904,Banska_Stiavnica,2
905,Partizanske,2
906,Hlohovec,2
907,Levoca,2
908,Myjava,2
909,Michalovce,2
910,Samorin,2
911,Humenne,2
912,Sabinov,2
913,Dubnica_nad_Vahom,2
914,Snina,2
915,Rimavska_Sobota,2
916,Malacky,2
917,Dolny_Kubin,2
918,Roznava,2
919,Kolarovo,2
920,Zilina,2
921,Kysucke_Nove_Mesto,2
922,Holic,2
923,Trencin,2
924,Spisska_Nova_Ves,2
925,Trebisov,2
926,Revuca,2
927,Banovce_nad_Bebravou,2
928,Stara_Lubovna,2
929,Zlate_Moravce,2
930,Komarno,2
931,Lucenec,2
932,Bardejov,2
933,Skalica,2
934,Velky_Krtis,2
935,Piestany,2
936,Sturovo,2
937,Brezno,2
938,Presov,2
939,Filakovo,2
940,Stropkov,2
941,Dunajska_Streda,2
942,Nove_Mesto_nad_Vahom,2
943,Cadca,2
944,Pezinok,2
945,Trnava,2
946,Ruzomberok,2
947,Liptovsky_Mikulas,2
948,Banska_Bystrica,2
949,Nova_Dubnica,2
950,Senec,2
951,Detva,2
952,Prievidza,2
953,Nove_Zamky,2
954,Svidnik,2
955,Sered,2
956,Vranov_nad_Toplou,2
957,Ziar_nad_Hronom,2
958,Poprad,2
959,Nitra,2
960,Levice,2
961,Bytca,2
962,Moldava_nad_Bodvou,2
963,Kosice,2
964,Sala,2
965,Senica,2
966,TIERRA_DEL_FUEGO,14
967,Nova_Scotia,14
968,Vancouver_Island,14
969,VICTORIA_ISLAND,14
970,LABRADOR,14
971,ELLESMERE_ISLAND,14
972,BAFFIN_ISLAND,14
973,ISLAND_OF_NEWFOUNDLAND,14
974,SULAWESI,14
975,JAVA,14
976,MINDANAO,14
977,LUZON,14
978,TAIWAN,14
979,KYUSHU,14
980,SHIKOKU,14
981,HOKKAIDO,14
982,SAKHALIN,14
983,SRI_LANKA,14
984,TASMANIA,14
985,NEW_GUINEA,14
986,BORNEO,14
987,SUMATRA,14
988,HONSHU,14
989,GREENLAND,14
990,MADAGASCAR,14
991,SOUTH_ISLAND,14
992,NORTH_ISLAND,14
993,ETHIOPIAN_HIGHLANDS,13
994,ZAGROS_MOUNTAINS,13
995,ALTAY_MOUNTAINS,13
996,GREATER_KHINGAN_RANGE,13
997,STANOVOY_RANGE,13
998,CHAINE_ANNAMITIQUE,13
999,Siwalik_Hills,13
1000,PAMIRS,13
1001,HINDU_KUSH,13
1002,KARAKORAM_RA.,13
1003,KUNLUN_MOUNTAINS,13
1004,ATLAS_MOUNTAINS,13
1005,APPALACHIAN_MTS.,13
1006,BROOKS_RANGE,13
1007,COAST_MOUNTAINS,13
1008,CASCADE_RANGE,13
1009,ALASKA_RANGE,13
1010,GREAT_DIVIDING_RANGE,13
1011,TIAN_SHAN,13
1012,URAL_MOUNTAINS,13
1013,HIMALAYAS,13
1014,ANDES,13
1015,ROCKY_MOUNTAINS,13
1016,Brahmaputra,5
1017,Mekong,5
1018,Ob,5
1019,Danube,5
1020,Parana,5
1021,Congo,5
1022,Lena,5
1023,Chang_(Yangtze),5
1024,Nile,5
1025,Amazon,5
1026,Mississippi,5
1027,Lake_Baikal,6
1028,Lake_Winnipeg,6
1029,Great_Slave_Lake,6
1030,L._Ontario,6
1031,L._Erie,6
1032,Lake_Superior,6
1033,Lake_Victoria,6
1034,Lake_Ladoga,6
1035,Balqash_Koli,6
1036,Lake_Tanganyika,6
1037,Lake_Malawi,6
1038,Aral_Sea,6
1039,Vanern,6
1040,Lago_de_Nicaragua,6
1041,Lago_Titicaca,6
1042,Lake_Winnipegosis,6
1043,Lake_Onega,6
1044,Great_Bear_Lake,6
1045,Reindeer_Lake,6
1046,Lake_Huron,6
1047,Lake_Michigan,6
1048,Tunis,2
1049,Baku,2
1050,Hanoi,2
1051,Ankara,2
1052,Sanaa,2
1053,Damascus,2
1054,Khartoum,2
1055,Pyongyang,2
1056,Dar_es_Salaam,2
1057,Havana,2
1058,Kuwait,2
1059,Santo_Domingo,2
1060,Accra,2
1061,Tripoli,2
1062,Tel_Aviv-Yafo,2
1063,Abidjan,2
1064,Brasilia,2
1065,Dhaka,2
1066,Luanda,2
1067,Algiers,2
1068,Rangoon,2
1069,Caracas,2
1070,Tashkent,2
1071,Bangkok,2
1072,Lima,2
1073,Dakar,2
1074,Johannesburg,2
1075,Casablanca,2
1076,Seoul,2
1077,Manila,2
1078,Monterrey,2
1079,Urumqi,2
1080,Chengdu,2
1081,Osaka,2
1082,Kinshasa,2
1083,Bangalore,2
1084,Baghdad,2
1085,Addis_Ababa,2
1086,Tehran,2
1087,Buenos_Aires,2
1088,Kabul,2
1089,Taipei,2
1090,Istanbul,2
1091,Riyadh,2
1092,Cape_Town,2
1093,Mexico_City,2
1094,Lagos,2
1095,Beijing,2
1096,Nairobi,2
1097,Jakarta,2
1098,Bogota,2
1099,Cairo,2
1100,Shanghai,2
1101,Tokyo,2
1102,Mumbai,2
1103,Santiago,2
1104,Kolkata,2
1105,Rio_de_Janeiro,2
1106,Sao_Paulo,2
1107,Singapore,2
1108,Hong_Kong,2
1109,Bir_Lehlou,2
1110,Moroni,2
1111,Kigali,2
1112,Mbabane,2
1113,Juba,2
1114,Dodoma,2
1115,Laayoune,2
1116,Djibouti,2
1117,Banjul,2
1118,Porto-Novo,2
1119,Bujumbura,2
1120,Lome,2
1121,Lusaka,2
1122,Harare,2
1123,Kampala,2
1124,Niamey,2
1125,Freetown,2
1126,Bloemfontein,2
1127,Pretoria,2
1128,Rabat,2
1129,Maputo,2
1130,Mogadishu,2
1131,Windhoek,2
1132,Abuja,2
1133,Maseru,2
1134,Antananarivo,2
1135,Ndjamena,2
1136,Malabo,2
1137,Asmara,2
1138,Lilongwe,2
1139,Libreville,2
1140,Nouakchott,2
1141,Bamako,2
1142,Conakry,2
1143,Yamoussoukro,2
1144,Bangui,2
1145,Yaounde,2
1146,Gaborone,2
1147,Ouagadougou,2
1148,Hargeysa,2
1149,Sao_Tome,2
1150,Monrovia,2
1151,HAINAN,14
1152,TIMOR,14
1153,Palawan,14
1154,Bohol,14
1155,Negros,14
1156,Leyte,14
1157,Samar,14
1158,Panay,14
1159,Mindoro,14
1160,Melekeok,2
1161,Doha,2
1162,Baguio_City,2
1163,Putrajaya,2
1164,Manama,2
1165,Abu_Dhabi,2
1166,Ashgabat,2
1167,Dili,2
1168,Dushanbe,2
1169,Islamabad,2
1170,Kathmandu,2
1171,Muscat,2
1172,Colombo,2
1173,Ulaanbaatar,2
1174,Amman,2
1175,Bishkek,2
1176,Beirut,2
1177,Tbilisi,2
1178,Astana,2
1179,Vientiane,2
1180,Bandar_Seri_Begawan,2
1181,Yerevan,2
1182,Phnom_Penh,2
1183,Thimphu,2
1184,Naypyidaw,2
1185,Male,2
1186,Jerusalem,2
1187,Nicosia,2
1188,Kuala_Lumpur,2
1189,Dubai,2
1190,New_Delhi,2
1191,Port-of-Spain,2
1192,Roseau,2
1193,Bridgetown,2
1194,Kingstown,2
1195,Castries,2
1196,Basseterre,2
1197,Saint_George's,2
1198,Saint_John's,2
1199,Tegucigalpa,2
1200,Port-au-Prince,2
1201,Managua,2
1202,Panama_City,2
1203,San_Salvador,2
1204,Kingston,2
1205,Guatemala,2
1206,Belmopan,2
1207,Nassau,2
1208,Funafuti,2
1209,Tarawa,2
1210,Port-Vila,2
1211,Port_Moresby,2
1212,Honiara,2
1213,Wellington,2
1214,Suva,2
1215,Auckland,2
1216,Montevideo,2
1217,Georgetown,2
1218,Paramaribo,2
1219,Asuncion,2
1220,Quito,2
1221,Sucre,2
1222,La_Paz,2
1223,Sumava,13
1224,Krusne_hory,13
1225,Ceske_Stredohori,13
1226,Krkonose,13
1227,Jizerske_hory,13
1228,Orlicke_hory,13
1229,Hruby_Jesenik,13
1230,Beskydy,13
1231,Ceskomoravska_vrchovina,13
1232,Bile_Karpaty,13
1233,Cesky_les,13
1234,Drahanska_vrchovina,13
1235,Rychlebske_hory,13
1236,Nizky_Jesenik,13
1237,Plzenska_pahorkatina,13
1238,Novohradske_hory,13
1239,Chriby,13
1240,Doupovske_hory,13
1241,Brdy,13
1242,Jestedsko-kozakovsky_hrbet,13
1243,Luzicke_hory,13
1244,Javorniky,13
1245,Stredoceska_pahorkatina,13
1246,Labe,5
1247,Vltava,5
1248,Ohre,5
1249,Berounka,5
1250,Sazava,5
1251,Otava,5
1252,Morava,5
1253,Orlice,5
1254,Odra,5
1255,Ostravice,5
1256,Dyje,5
1257,Svratka,5
1258,Svitava,5
1259,Jizera,5
1260,Uslava,5
1261,Uhlava,5
1262,Radbuza,5
1263,Mze,5
1264,Becva,5
1265,Daugava_(Zapadnaya_Dvina),5
1266,Dniester,5
1267,Drava,5
1268,Duero,5
1269,Ebro,5
1270,Elbe,5
1271,Garonne,5
1272,Loire,5
1273,Oder,5
1274,Po,5
1275,Seine,5
1276,Svernaya_Dvina,5
1277,Thames,5
1278,Vistula,5
1279,Vychegda,5
1280,Rhine,5
1281,Volga,5
1282,Don,5
1283,Dalalven,5
1284,Kama,5
1285,Tajo,5
1286,Tisa,5
1287,Dnepre,5
1288,Rhone,5
1289,Glomma,5
1290,Kemijoki,5
1291,Sukhona,5
